siparis_id,musteri_id,urun_id,kategori,fiyat,adet,tarih,durum
10039,56,22,Spor,4084.61,9,2024-01-02 14:00:00,Teslim
10040,126,41,Ev,2268.79,2,2024-01-02 15:00:00,Teslim
10041,33,35,Giyim,4111.76,4,2024-01-02 16:00:00,Teslim
10042,151,42,Spor,1241.73,2,2024-01-02 17:00:00,İptal
10043,140,21,Kozmetik,1836.01,4,2024-01-02 18:00:00,Kargoda
10044,71,19,Kozmetik,922.96,6,2024-01-02 19:00:00,Teslim
10045,14,35,Giyim,2364.05,8,2024-01-02 20:00:00,Kargoda
10046,194,8,Spor,1990.7,4,2024-01-02 21:00:00,İade
10047,89,12,Ev,1242.59,7,2024-01-02 22:00:00,Teslim
10048,178,30,Ev,3771.31,6,2024-01-02 23:00:00,Teslim
10049,135,33,Kozmetik,1603.54,3,2024-01-03 00:00:00,İptal
10050,155,6,Kozmetik,1400.38,9,2024-01-03 01:00:00,Teslim
10051,152,25,Elektronik,697.91,4,2024-01-03 02:00:00,İptal
10052,39,18,Giyim,2222.17,2,2024-01-03 03:00:00,Teslim
10053,73,25,Giyim,1549.67,9,2024-01-03 04:00:00,Teslim
10054,93,47,Spor,1877.9,9,2024-01-03 05:00:00,Kargoda
10055,100,4,Kozmetik,1218.19,1,2024-01-03 06:00:00,Teslim
10056,9,49,Giyim,3827.62,9,2024-01-03 07:00:00,Teslim
10057,109,23,Kozmetik,4653.52,9,2024-01-03 08:00:00,Teslim
10058,31,38,Kozmetik,2514.76,8,2024-01-03 09:00:00,Teslim
10059,148,21,Giyim,3232.84,3,2024-01-03 10:00:00,Teslim
10060,136,16,Ev,4342.5,6,2024-01-03 11:00:00,Teslim
10061,184,38,Spor,4994.21,5,2024-01-03 12:00:00,Teslim
10062,149,34,Ev,3086.91,6,2024-01-03 13:00:00,Teslim
10063,73,8,Elektronik,4454.41,6,2024-01-03 14:00:00,Teslim
10064,193,35,Kozmetik,4547.61,6,2024-01-03 15:00:00,İptal
10065,82,37,Ev,3967.68,5,2024-01-03 16:00:00,Teslim
10066,65,20,Ev,2331.61,7,2024-01-03 17:00:00,Teslim
10067,181,46,Kozmetik,451.71,5,2024-01-03 18:00:00,Teslim
10068,74,32,Spor,128.24,1,2024-01-03 19:00:00,Teslim
10069,16,17,Giyim,2412.14,1,2024-01-03 20:00:00,Kargoda
10070,94,1,Ev,2496.86,9,2024-01-03 21:00:00,Teslim
10071,159,34,Elektronik,2066.44,9,2024-01-03 22:00:00,Teslim
10072,38,11,Kozmetik,2862.43,6,2024-01-03 23:00:00,İade
10073,93,38,Ev,2783.21,2,2024-01-04 00:00:00,Kargoda
10074,26,26,Giyim,4191.23,8,2024-01-04 01:00:00,Kargoda
10075,137,23,Kozmetik,587.85,2,2024-01-04 02:00:00,İptal
10076,95,9,Ev,1164.63,4,2024-01-04 03:00:00,İptal
10077,66,35,Ev,3975.37,3,2024-01-04 04:00:00,Teslim
10078,46,9,Ev,4246.79,1,2024-01-04 05:00:00,Teslim
10079,113,21,Giyim,4974.38,8,2024-01-04 06:00:00,Teslim
10080,134,41,Elektronik,4370.91,5,2024-01-04 07:00:00,Teslim
10081,188,46,Spor,4455.0,3,2024-01-04 08:00:00,Teslim
10082,87,49,Elektronik,1606.02,5,2024-01-04 09:00:00,Teslim
10083,32,47,Giyim,2038.23,1,2024-01-04 10:00:00,Teslim
10084,166,28,Kozmetik,1377.02,4,2024-01-04 11:00:00,Kargoda
10085,126,10,Elektronik,3051.18,5,2024-01-04 12:00:00,Kargoda
10086,140,42,Kozmetik,4697.09,4,2024-01-04 13:00:00,Teslim
10087,20,40,Kozmetik,1755.97,8,2024-01-04 14:00:00,Teslim
10088,63,49,Kozmetik,2807.16,3,2024-01-04 15:00:00,Teslim
10089,153,32,Giyim,1516.68,2,2024-01-04 16:00:00,Teslim
10090,166,7,Elektronik,890.51,5,2024-01-04 17:00:00,İptal
10091,87,25,Spor,1016.17,8,2024-01-04 18:00:00,İptal
10092,161,22,Giyim,336.83,4,2024-01-04 19:00:00,İptal
10093,168,42,Spor,4749.0,1,2024-01-04 20:00:00,İptal
10094,78,20,Elektronik,2044.25,9,2024-01-04 21:00:00,İade
10095,179,17,Elektronik,4178.9,4,2024-01-04 22:00:00,Teslim
10096,58,4,Kozmetik,3422.58,2,2024-01-04 23:00:00,Teslim
10097,48,41,Spor,1000.01,6,2024-01-05 00:00:00,Teslim
10098,136,38,Spor,918.54,3,2024-01-05 01:00:00,Teslim
10099,127,3,Kozmetik,4069.34,9,2024-01-05 02:00:00,Teslim
10100,28,22,Giyim,1360.32,3,2024-01-05 03:00:00,Teslim
10101,166,24,Spor,4570.76,5,2024-01-05 04:00:00,İade
10102,40,23,Kozmetik,743.27,5,2024-01-05 05:00:00,Teslim
10103,161,46,Elektronik,3404.66,3,2024-01-05 06:00:00,İade
10104,2,8,Elektronik,4081.65,5,2024-01-05 07:00:00,Kargoda
10105,159,16,Spor,1214.52,1,2024-01-05 08:00:00,Teslim
10106,157,9,Giyim,1417.23,6,2024-01-05 09:00:00,Teslim
10107,156,12,Kozmetik,4824.37,7,2024-01-05 10:00:00,Teslim
10108,133,45,Elektronik,1359.76,9,2024-01-05 11:00:00,Teslim
10109,94,47,Giyim,2178.29,3,2024-01-05 12:00:00,Teslim
10110,141,3,Giyim,2190.95,3,2024-01-05 13:00:00,İptal
10111,56,31,Giyim,1302.52,5,2024-01-05 14:00:00,Teslim
10112,156,12,Kozmetik,3890.17,7,2024-01-05 15:00:00,Teslim
10113,111,10,Spor,3870.65,9,2024-01-05 16:00:00,Kargoda
10114,92,15,Spor,1922.67,1,2024-01-05 17:00:00,Teslim
10115,101,10,Kozmetik,4183.87,3,2024-01-05 18:00:00,Teslim
10116,114,25,Giyim,1104.72,3,2024-01-05 19:00:00,Teslim
10117,8,49,Spor,71.31,3,2024-01-05 20:00:00,Teslim
10118,28,29,Ev,2877.28,5,2024-01-05 21:00:00,Teslim
10119,49,36,Ev,4970.68,8,2024-01-05 22:00:00,Teslim
10120,23,25,Kozmetik,241.29,1,2024-01-05 23:00:00,Teslim
10121,88,1,Kozmetik,1079.59,8,2024-01-06 00:00:00,Teslim
10122,134,5,Spor,2618.63,6,2024-01-06 01:00:00,Teslim
10123,131,14,Ev,4059.21,6,2024-01-06 02:00:00,Teslim
10124,94,12,Kozmetik,490.76,7,2024-01-06 03:00:00,Teslim
10125,171,42,Kozmetik,2006.41,2,2024-01-06 04:00:00,Teslim
10126,113,42,Giyim,3748.03,7,2024-01-06 05:00:00,Teslim
10127,16,42,Giyim,1889.14,3,2024-01-06 06:00:00,Teslim
10128,153,32,Kozmetik,984.74,5,2024-01-06 07:00:00,Teslim
10129,115,28,Elektronik,1017.7,7,2024-01-06 08:00:00,Teslim
10130,127,32,Giyim,2079.74,6,2024-01-06 09:00:00,İptal
10131,113,20,Kozmetik,2423.11,3,2024-01-06 10:00:00,Teslim
10132,111,33,Spor,4315.98,4,2024-01-06 11:00:00,İptal
10133,19,39,Ev,3229.15,5,2024-01-06 12:00:00,Teslim
10134,112,38,Giyim,3467.49,1,2024-01-06 13:00:00,Teslim
10135,159,31,Ev,4915.79,7,2024-01-06 14:00:00,Kargoda
10136,61,3,Kozmetik,2088.63,1,2024-01-06 15:00:00,Kargoda
10137,120,36,Ev,2046.6,5,2024-01-06 16:00:00,Kargoda
10138,7,18,Elektronik,4620.57,6,2024-01-06 17:00:00,Teslim
10139,70,37,Ev,1267.08,1,2024-01-06 18:00:00,Kargoda
10140,87,27,Ev,3662.59,9,2024-01-06 19:00:00,Teslim
10141,196,44,Kozmetik,3785.14,4,2024-01-06 20:00:00,Teslim
10142,43,17,Spor,534.05,1,2024-01-06 21:00:00,Teslim
10143,56,46,Spor,2367.75,6,2024-01-06 22:00:00,İade
10144,82,42,Kozmetik,1042.78,6,2024-01-06 23:00:00,Teslim
10145,198,17,Giyim,967.61,6,2024-01-07 00:00:00,Kargoda
10146,170,24,Ev,2345.95,7,2024-01-07 01:00:00,Teslim
10147,7,27,Elektronik,1482.68,5,2024-01-07 02:00:00,Kargoda
10148,47,38,Spor,3990.5,8,2024-01-07 03:00:00,Kargoda
10149,164,34,Spor,4542.64,4,2024-01-07 04:00:00,İptal
10150,12,42,Spor,4023.47,5,2024-01-07 05:00:00,Teslim
10151,171,19,Giyim,1366.85,2,2024-01-07 06:00:00,Teslim
10152,56,25,Giyim,1406.97,6,2024-01-07 07:00:00,Teslim
10153,183,22,Spor,1310.91,3,2024-01-07 08:00:00,Teslim
10154,59,45,Ev,718.44,7,2024-01-07 09:00:00,Teslim
10155,87,15,Kozmetik,4721.8,8,2024-01-07 10:00:00,Teslim
10156,132,29,Ev,2040.14,8,2024-01-07 11:00:00,Teslim
10157,26,6,Ev,1162.21,9,2024-01-07 12:00:00,Teslim
10158,111,42,Kozmetik,4241.02,2,2024-01-07 13:00:00,Teslim
10159,101,19,Spor,2026.02,2,2024-01-07 14:00:00,İptal
10160,156,17,Giyim,223.83,9,2024-01-07 15:00:00,Teslim
10161,199,29,Spor,851.61,4,2024-01-07 16:00:00,İade
10162,133,25,Giyim,3214.29,1,2024-01-07 17:00:00,İade
10163,82,42,Ev,3925.38,3,2024-01-07 18:00:00,Teslim
10164,81,27,Spor,1094.13,8,2024-01-07 19:00:00,Kargoda
10165,84,26,Spor,4591.11,4,2024-01-07 20:00:00,Teslim
10166,162,6,Spor,4262.44,1,2024-01-07 21:00:00,Teslim
10167,64,2,Giyim,4249.48,7,2024-01-07 22:00:00,Teslim
10168,34,20,Spor,1176.92,2,2024-01-07 23:00:00,Teslim
10169,67,49,Spor,300.15,4,2024-01-08 00:00:00,Teslim
10170,5,45,Spor,4343.75,1,2024-01-08 01:00:00,Teslim
10171,22,31,Elektronik,1563.71,6,2024-01-08 02:00:00,İade
10172,18,31,Kozmetik,3113.64,5,2024-01-08 03:00:00,Teslim
10173,154,20,Spor,3811.84,8,2024-01-08 04:00:00,Kargoda
10174,144,9,Kozmetik,685.05,4,2024-01-08 05:00:00,İade
10175,139,1,Giyim,3915.15,2,2024-01-08 06:00:00,Teslim
10176,92,17,Kozmetik,4695.63,2,2024-01-08 07:00:00,Teslim
10177,143,16,Elektronik,3655.46,2,2024-01-08 08:00:00,İptal
10178,33,10,Ev,2234.05,5,2024-01-08 09:00:00,Teslim
10179,180,13,Kozmetik,4389.56,1,2024-01-08 10:00:00,Teslim
10180,100,2,Ev,2660.92,4,2024-01-08 11:00:00,Teslim
10181,187,30,Kozmetik,3736.62,8,2024-01-08 12:00:00,İptal
10182,31,46,Giyim,4111.5,7,2024-01-08 13:00:00,Teslim
10183,99,34,Kozmetik,3759.3,6,2024-01-08 14:00:00,Teslim
10184,139,22,Kozmetik,1474.88,9,2024-01-08 15:00:00,Teslim
10185,99,21,Kozmetik,633.33,8,2024-01-08 16:00:00,Teslim
10186,89,16,Giyim,1229.78,6,2024-01-08 17:00:00,Teslim
10187,34,7,Giyim,2539.23,8,2024-01-08 18:00:00,Kargoda
10188,76,30,Giyim,2551.12,2,2024-01-08 19:00:00,İptal
10189,48,28,Ev,2934.09,8,2024-01-08 20:00:00,Teslim
10190,61,1,Ev,2005.75,3,2024-01-08 21:00:00,Teslim
10191,137,21,Giyim,3945.11,7,2024-01-08 22:00:00,Teslim
10192,126,14,Ev,4570.11,9,2024-01-08 23:00:00,Teslim
10193,121,9,Giyim,1271.29,5,2024-01-09 00:00:00,Teslim
10194,73,35,Giyim,3695.79,1,2024-01-09 01:00:00,Teslim
10195,191,26,Kozmetik,3405.96,4,2024-01-09 02:00:00,Teslim
10196,18,32,Spor,2639.3,4,2024-01-09 03:00:00,Teslim
10197,69,35,Giyim,983.22,9,2024-01-09 04:00:00,Teslim
10198,24,49,Spor,3986.4,9,2024-01-09 05:00:00,Teslim
10199,68,40,Ev,4805.1,6,2024-01-09 06:00:00,Teslim
10200,192,31,Elektronik,3623.09,9,2024-01-09 07:00:00,İptal
10201,73,44,Giyim,4593.41,4,2024-01-09 08:00:00,Kargoda
10202,181,24,Elektronik,4921.72,4,2024-01-09 09:00:00,İptal
10203,99,49,Elektronik,1792.65,8,2024-01-09 10:00:00,İptal
10204,140,38,Giyim,3209.21,7,2024-01-09 11:00:00,Teslim
10205,92,32,Ev,2395.97,5,2024-01-09 12:00:00,İptal
10206,53,45,Kozmetik,4933.81,5,2024-01-09 13:00:00,Teslim
10207,153,26,Elektronik,514.35,7,2024-01-09 14:00:00,Teslim
10208,193,36,Spor,2091.26,7,2024-01-09 15:00:00,Teslim
10209,53,14,Giyim,4383.92,5,2024-01-09 16:00:00,Teslim
10210,155,48,Elektronik,1456.05,1,2024-01-09 17:00:00,Teslim
10211,52,31,Kozmetik,3949.57,1,2024-01-09 18:00:00,Teslim
10212,143,39,Kozmetik,1944.78,2,2024-01-09 19:00:00,Kargoda
10213,158,23,Kozmetik,4900.89,5,2024-01-09 20:00:00,Kargoda
10214,90,43,Elektronik,4423.47,6,2024-01-09 21:00:00,Teslim
10215,147,4,Elektronik,1541.54,8,2024-01-09 22:00:00,Teslim
10216,55,6,Giyim,3862.46,3,2024-01-09 23:00:00,Kargoda
10217,16,25,Ev,1717.44,8,2024-01-10 00:00:00,Teslim
10218,20,36,Spor,3051.5,6,2024-01-10 01:00:00,Teslim
10219,89,40,Giyim,3309.48,1,2024-01-10 02:00:00,Teslim
10220,180,22,Elektronik,4156.5,4,2024-01-10 03:00:00,Teslim
10221,26,32,Spor,171.03,3,2024-01-10 04:00:00,Teslim
10222,91,28,Elektronik,1139.78,8,2024-01-10 05:00:00,Kargoda
10223,141,48,Elektronik,3573.99,9,2024-01-10 06:00:00,Kargoda
10224,41,33,Ev,2839.44,8,2024-01-10 07:00:00,Teslim
10225,144,21,Ev,2503.25,5,2024-01-10 08:00:00,Teslim
10226,61,48,Kozmetik,323.29,5,2024-01-10 09:00:00,Kargoda
10227,161,6,Spor,1773.97,3,2024-01-10 10:00:00,Teslim
10228,116,49,Spor,4332.25,7,2024-01-10 11:00:00,Teslim
10229,109,8,Giyim,202.92,1,2024-01-10 12:00:00,Teslim
10230,36,15,Spor,2012.36,3,2024-01-10 13:00:00,Teslim
10231,93,41,Kozmetik,4728.48,2,2024-01-10 14:00:00,Teslim
10232,171,36,Elektronik,301.86,5,2024-01-10 15:00:00,Teslim
10233,4,48,Spor,3761.04,3,2024-01-10 16:00:00,Teslim
10234,151,37,Elektronik,1325.18,2,2024-01-10 17:00:00,Teslim
10235,99,32,Ev,4339.71,4,2024-01-10 18:00:00,Teslim
10236,144,17,Kozmetik,3743.04,8,2024-01-10 19:00:00,Teslim
10237,132,1,Giyim,4434.24,6,2024-01-10 20:00:00,İade
10238,86,7,Giyim,1118.83,8,2024-01-10 21:00:00,Teslim
10239,62,15,Ev,2679.9,9,2024-01-10 22:00:00,Teslim
10240,125,3,Spor,3907.39,9,2024-01-10 23:00:00,Teslim
10241,28,25,Giyim,1266.21,4,2024-01-11 00:00:00,İptal
10242,117,39,Kozmetik,1192.19,8,2024-01-11 01:00:00,Teslim
10243,19,48,Ev,184.55,9,2024-01-11 02:00:00,İptal
10244,130,24,Elektronik,4794.65,9,2024-01-11 03:00:00,Teslim
10245,126,43,Kozmetik,3564.58,4,2024-01-11 04:00:00,Teslim
10246,17,49,Spor,3196.02,3,2024-01-11 05:00:00,Teslim
10247,151,43,Ev,3732.77,6,2024-01-11 06:00:00,Teslim
10248,83,23,Elektronik,2681.48,9,2024-01-11 07:00:00,Kargoda
10249,157,16,Elektronik,2406.86,9,2024-01-11 08:00:00,İptal
10250,9,48,Ev,2275.18,6,2024-01-11 09:00:00,Teslim
10251,36,12,Ev,3220.17,2,2024-01-11 10:00:00,İade
10252,99,21,Ev,1047.6,4,2024-01-11 11:00:00,Teslim
10253,38,4,Giyim,4445.89,7,2024-01-11 12:00:00,Teslim
10254,66,39,Ev,4068.17,6,2024-01-11 13:00:00,Teslim
10255,132,32,Giyim,1780.34,4,2024-01-11 14:00:00,Teslim
10256,29,5,Kozmetik,2914.12,4,2024-01-11 15:00:00,Kargoda
10257,135,11,Kozmetik,748.09,1,2024-01-11 16:00:00,Teslim
10258,21,28,Kozmetik,4863.11,3,2024-01-11 17:00:00,Teslim
10259,35,27,Elektronik,4519.32,7,2024-01-11 18:00:00,Teslim
10260,117,40,Spor,4613.39,3,2024-01-11 19:00:00,Teslim
10261,158,14,Elektronik,1694.21,9,2024-01-11 20:00:00,Teslim
10262,34,46,Spor,887.22,1,2024-01-11 21:00:00,Teslim
10263,60,22,Elektronik,1098.27,6,2024-01-11 22:00:00,Teslim
10264,185,41,Ev,495.51,5,2024-01-11 23:00:00,Teslim
10265,197,12,Elektronik,644.55,8,2024-01-12 00:00:00,Teslim
10266,116,2,Elektronik,402.96,8,2024-01-12 01:00:00,Teslim
10267,89,3,Kozmetik,4949.62,5,2024-01-12 02:00:00,Teslim
10268,70,19,Kozmetik,416.59,6,2024-01-12 03:00:00,Kargoda
10269,122,47,Elektronik,706.08,7,2024-01-12 04:00:00,İade
10270,118,3,Spor,4144.91,5,2024-01-12 05:00:00,Teslim
10271,59,19,Giyim,2922.19,2,2024-01-12 06:00:00,İade
10272,5,6,Giyim,3883.37,4,2024-01-12 07:00:00,Teslim
10273,31,46,Giyim,3173.01,3,2024-01-12 08:00:00,Teslim
10274,191,34,Ev,4416.77,5,2024-01-12 09:00:00,Kargoda
10275,84,38,Elektronik,3210.41,6,2024-01-12 10:00:00,Kargoda
10276,96,35,Ev,2634.52,2,2024-01-12 11:00:00,Kargoda
10277,93,33,Giyim,3578.11,3,2024-01-12 12:00:00,Teslim
10278,156,38,Elektronik,2264.59,8,2024-01-12 13:00:00,Teslim
10279,13,1,Giyim,1763.02,4,2024-01-12 14:00:00,Teslim
10280,17,43,Kozmetik,2364.88,2,2024-01-12 15:00:00,Teslim
10281,55,37,Kozmetik,890.08,7,2024-01-12 16:00:00,Teslim
10282,97,37,Giyim,3993.03,7,2024-01-12 17:00:00,Teslim
10283,134,20,Giyim,1340.48,8,2024-01-12 18:00:00,Teslim
10284,98,40,Kozmetik,809.98,7,2024-01-12 19:00:00,Teslim
10285,88,19,Kozmetik,1269.44,9,2024-01-12 20:00:00,Teslim
10286,187,3,Spor,4218.25,6,2024-01-12 21:00:00,Teslim
10287,33,45,Spor,1684.5,3,2024-01-12 22:00:00,Teslim
10288,114,12,Spor,3445.95,8,2024-01-12 23:00:00,Teslim
10289,108,5,Spor,4289.23,3,2024-01-13 00:00:00,Teslim
10290,95,31,Ev,434.84,3,2024-01-13 01:00:00,Teslim
10291,161,12,Giyim,3836.87,8,2024-01-13 02:00:00,Teslim
10292,54,43,Giyim,1572.94,8,2024-01-13 03:00:00,Kargoda
10293,190,22,Giyim,1122.28,4,2024-01-13 04:00:00,Teslim
10294,66,1,Kozmetik,3460.06,7,2024-01-13 05:00:00,Teslim
10295,109,47,Kozmetik,4553.49,9,2024-01-13 06:00:00,Teslim
10296,104,26,Spor,1510.35,8,2024-01-13 07:00:00,İade
10297,170,13,Elektronik,2865.73,1,2024-01-13 08:00:00,Kargoda
10298,88,34,Ev,1484.68,6,2024-01-13 09:00:00,Teslim
10299,57,26,Giyim,2793.71,2,2024-01-13 10:00:00,Teslim
10300,5,2,Spor,3128.22,8,2024-01-13 11:00:00,Teslim
10301,73,38,Giyim,3071.16,1,2024-01-13 12:00:00,İptal
10302,165,20,Elektronik,3136.55,9,2024-01-13 13:00:00,Teslim
10303,2,35,Ev,718.64,2,2024-01-13 14:00:00,Teslim
10304,179,44,Spor,3483.03,4,2024-01-13 15:00:00,İade
10305,109,30,Spor,3390.01,3,2024-01-13 16:00:00,Kargoda
10306,28,33,Elektronik,3428.81,8,2024-01-13 17:00:00,Teslim
10307,61,13,Giyim,416.65,4,2024-01-13 18:00:00,Teslim
10308,111,12,Elektronik,2261.85,7,2024-01-13 19:00:00,Teslim
10309,63,21,Giyim,2074.72,1,2024-01-13 20:00:00,Teslim
10310,22,42,Ev,479.22,5,2024-01-13 21:00:00,Teslim
10311,133,26,Giyim,1150.72,9,2024-01-13 22:00:00,İptal
10312,134,18,Elektronik,2232.77,9,2024-01-13 23:00:00,İptal
10313,24,39,Ev,3727.39,2,2024-01-14 00:00:00,Teslim
10314,56,42,Elektronik,1223.46,4,2024-01-14 01:00:00,Teslim
10315,49,45,Giyim,4157.26,4,2024-01-14 02:00:00,Teslim
10316,132,15,Elektronik,2751.7,6,2024-01-14 03:00:00,Teslim
10317,146,35,Elektronik,3814.09,5,2024-01-14 04:00:00,Kargoda
10318,145,29,Ev,2389.15,1,2024-01-14 05:00:00,Teslim
10319,187,22,Spor,2521.01,7,2024-01-14 06:00:00,Teslim
10320,153,20,Kozmetik,3117.61,3,2024-01-14 07:00:00,Teslim
10321,64,6,Elektronik,4643.45,3,2024-01-14 08:00:00,Teslim
10322,22,14,Elektronik,2484.47,8,2024-01-14 09:00:00,Teslim
10323,123,27,Giyim,2666.85,7,2024-01-14 10:00:00,Kargoda
10324,183,44,Kozmetik,3029.88,4,2024-01-14 11:00:00,Kargoda
10325,195,43,Kozmetik,3700.7,9,2024-01-14 12:00:00,Teslim
10326,46,10,Spor,405.66,4,2024-01-14 13:00:00,Kargoda
10327,48,34,Giyim,2602.65,6,2024-01-14 14:00:00,Teslim
10328,8,5,Elektronik,2433.88,3,2024-01-14 15:00:00,Kargoda
10329,29,34,Elektronik,4612.34,2,2024-01-14 16:00:00,Teslim
10330,111,17,Elektronik,2492.86,5,2024-01-14 17:00:00,Teslim
10331,109,23,Elektronik,2368.19,6,2024-01-14 18:00:00,İptal
10332,74,36,Spor,4812.89,8,2024-01-14 19:00:00,Teslim
10333,62,21,Giyim,2280.35,4,2024-01-14 20:00:00,Teslim
10334,166,40,Spor,945.38,9,2024-01-14 21:00:00,Teslim
10335,92,27,Ev,1123.73,6,2024-01-14 22:00:00,Teslim
10336,161,49,Ev,521.18,1,2024-01-14 23:00:00,Teslim
10337,192,32,Ev,52.81,7,2024-01-15 00:00:00,Teslim
10338,64,15,Spor,2188.13,6,2024-01-15 01:00:00,İptal
10339,41,38,Elektronik,3857.75,4,2024-01-15 02:00:00,Teslim
10340,190,20,Elektronik,3680.66,5,2024-01-15 03:00:00,Teslim
10341,127,27,Ev,209.14,3,2024-01-15 04:00:00,Teslim
10342,58,7,Giyim,2871.42,6,2024-01-15 05:00:00,Kargoda
10343,124,6,Ev,813.7,6,2024-01-15 06:00:00,Teslim
10344,103,29,Kozmetik,4708.33,5,2024-01-15 07:00:00,Teslim
10345,181,10,Ev,878.46,3,2024-01-15 08:00:00,Teslim
10346,51,49,Giyim,3151.86,4,2024-01-15 09:00:00,Teslim
10347,198,42,Giyim,1664.88,5,2024-01-15 10:00:00,Kargoda
10348,187,35,Kozmetik,3225.73,5,2024-01-15 11:00:00,Teslim
10349,36,37,Giyim,2090.68,3,2024-01-15 12:00:00,Kargoda
10350,33,30,Ev,3810.23,6,2024-01-15 13:00:00,Teslim
10351,107,3,Ev,1191.86,3,2024-01-15 14:00:00,Teslim
10352,9,20,Kozmetik,4533.67,5,2024-01-15 15:00:00,Teslim
10353,60,25,Kozmetik,2526.04,2,2024-01-15 16:00:00,Teslim
10354,87,45,Ev,3792.66,5,2024-01-15 17:00:00,Teslim
10355,193,11,Giyim,4256.16,8,2024-01-15 18:00:00,Teslim
10356,198,25,Giyim,4994.2,8,2024-01-15 19:00:00,Teslim
10357,31,17,Ev,1158.53,7,2024-01-15 20:00:00,Teslim
10358,178,7,Giyim,1470.12,7,2024-01-15 21:00:00,Teslim
10359,19,6,Kozmetik,1289.64,1,2024-01-15 22:00:00,Teslim
10360,149,18,Giyim,1351.21,4,2024-01-15 23:00:00,Teslim
10361,169,5,Kozmetik,2933.1,6,2024-01-16 00:00:00,Teslim
10362,178,4,Kozmetik,4967.94,8,2024-01-16 01:00:00,Teslim
10363,45,18,Spor,4951.88,6,2024-01-16 02:00:00,Teslim
10364,178,10,Elektronik,2657.53,8,2024-01-16 03:00:00,Teslim
10365,24,28,Kozmetik,3213.18,3,2024-01-16 04:00:00,Teslim
10366,104,1,Elektronik,4306.85,2,2024-01-16 05:00:00,Teslim
10367,94,15,Giyim,4668.02,1,2024-01-16 06:00:00,Teslim
10368,63,23,Elektronik,1059.11,6,2024-01-16 07:00:00,Teslim
10369,5,48,Elektronik,2666.28,6,2024-01-16 08:00:00,Teslim
10370,154,32,Elektronik,4172.54,3,2024-01-16 09:00:00,Teslim
10371,67,44,Elektronik,1550.85,8,2024-01-16 10:00:00,İptal
10372,132,17,Spor,2227.05,7,2024-01-16 11:00:00,Teslim
10373,82,23,Elektronik,4928.82,4,2024-01-16 12:00:00,İptal
10374,75,21,Giyim,4925.98,3,2024-01-16 13:00:00,Teslim
10375,177,44,Kozmetik,4535.23,7,2024-01-16 14:00:00,Teslim
